,times,model_predictions,errors,controller_outputs,noisy_values,true_values,T2_values
269,32.41847131339003,-4.323728686609968,-16.043414024830405,36.7422,36.4199,269.0,23.5279
270,32.37362795960593,-4.3685720403940635,-16.093802632512045,36.7422,36.4199,270.0,23.5279
271,32.32835823468756,-4.091541765312435,-16.144257558869917,36.4199,36.4199,271.0,23.5279
272,32.28244926818243,-4.137450731817566,-12.079875119155993,36.4199,36.7422,272.0,23.5279
273,32.2359497480798,-4.183950251920201,-12.347982658387608,36.4199,36.4199,273.0,23.5279
274,32.18914254206061,-4.23075745793939,-12.612657918331216,36.4199,36.7422,274.0,23.5279
275,32.142517437895286,-4.277382562104712,-12.87052685202412,36.4199,36.7422,275.0,23.5279
276,32.09626930064819,-4.32363069935181,-13.115733322252026,36.4199,36.4199,276.0,23.5279
277,32.05033052330785,-4.369569476692149,-13.34647700849073,36.4199,36.4199,277.0,23.5279
278,32.00463818934772,-4.737561810652274,-13.564397538431145,36.7422,36.4199,278.0,23.5279
279,31.958894339422187,-4.461005660577811,-17.892359946965854,36.4199,36.4199,279.0,23.5279
280,31.912833020716842,-4.507066979283152,-13.768481490583255,36.4199,36.4199,280.0,23.5279
281,31.86645532529275,-4.553444674707244,-13.976343085249574,36.4199,36.4199,281.0,23.5279
282,31.819762831793344,-4.600137168206658,-14.180645006624765,36.4199,36.4199,282.0,23.5279
283,31.772998131597788,-4.64690186840221,-14.381593427589245,36.4199,36.4199,283.0,23.5279
284,31.726378010053516,-4.693521989946483,-14.576300946511466,36.4199,36.4199,284.0,23.5279
285,31.67986470373707,-4.740035296262931,-14.762350346416724,36.4199,36.4199,285.0,23.5279
286,31.63344449817791,-4.78645550182209,-14.9406955939236,36.4199,36.4199,286.0,23.5279
287,31.587117350395285,-4.832782649604717,-15.11193312802098,36.4199,36.4199,287.0,23.5279
288,31.549654618684006,-4.870245381315989,-15.27645244068001,36.4199,36.4199,288.0,23.5279
289,31.520514096315527,-4.899385903684475,-15.322458069420982,36.4199,36.4199,289.0,23.5279
290,31.490432263378167,-4.929467736621831,-15.262732698033716,36.4199,36.4199,290.0,23.205599999999997
291,31.459437172179825,-4.960462827820173,-15.220914826388452,36.4199,36.4199,291.0,23.5279
292,31.427576350231934,-4.992323649768068,-15.195727285190735,36.4199,36.4199,292.0,23.5279
293,31.39491330448249,-5.024986695517505,-15.185712771825727,36.4199,36.4199,293.0,23.5279
